     0  223.52  121.35  811.05
     1  227.54  -40.83  817.96
     2  223.52 -121.35  811.05
     3  282.75   81.40  797.45
     4  284.76     .00  800.88
     5  339.92  -40.87  778.00
     6  394.60     .00  752.85
     7  276.79  160.57  787.47
     8  377.16  235.46  724.44
     9  335.89  121.47  771.32
    10  386.57  160.70  739.76
    11  434.48  198.78  703.00
    12  392.55   81.46  749.51
    13  479.28  235.46  661.33
    14  488.78  160.70  676.58
    15  446.35   40.87  722.22
    16  494.84   81.46  686.30
    17  539.67  121.47  645.37
    18  580.55  160.57  599.73
    19  276.79 -160.57  787.47
    20  335.89 -121.47  771.32
    21  446.35  -40.87  722.22
    22  386.57 -160.70  739.76
    23  442.28 -121.52  715.62
    24  377.16 -235.46  724.44
    25  488.78 -160.70  676.58
    26  539.67 -121.47  645.37
    27  423.61 -270.62  685.42
    28  479.28 -235.46  661.33
    29  580.55 -160.57  599.73
    30  496.90     .00  689.63
    31  586.81   81.40  609.53
    32  625.46  121.35  562.64
    33  543.85  -40.87  651.97
    34  588.98     .00  612.86
    35  666.11   81.35  521.70
    36  629.84  -40.83  569.33
    37  668.39     .00  525.12
    38  625.46 -121.35  562.64
    39  702.21  -40.79  477.22
    40  733.52     .00  429.46
    41  439.42  319.26  653.83
    42  495.69  285.94  628.52
    43  539.89  317.98  574.38
    44  597.79  213.62  565.25
    45  591.80  281.91  541.10
    46  425.12  383.06  628.52
    47  387.90  502.52  565.25
    48  469.26  415.20  574.38
    49  450.99  475.72  541.10
    50  527.26  383.08  545.66
    51  566.91  411.88  481.12
    52  365.19  557.35  527.72
    53  404.81  586.40  463.43
    54  490.59  504.60  476.65
    55  466.76  560.16  436.87
    56  548.16  472.58  445.75
    57  498.71  583.24  365.53
    58  339.97  608.37  486.62
    59  312.43  655.24  442.20
    60  282.75  697.63  394.80
    61  377.32  635.67  419.58
    62  409.17  658.65  348.23
    63  468.42  632.35  321.27
    64  642.92  175.09  527.72
    65  682.79  203.80  463.43
    66  719.72   94.66  442.20
    67  721.17  162.41  419.58
    68  750.86   53.33  394.80
    69  752.85  185.61  348.23
    70  631.51  310.66  476.65
    71  618.84  375.29  445.75
    72  676.98  270.82  436.87
    73  708.81  294.07  365.53
    74  746.15  250.09  321.27
    75  650.79  398.51  374.39
    76  630.64  458.18  338.90
    77  695.13  356.98  334.46
    78  676.58  417.31  300.97
    79  717.62  373.44  260.90
    80  695.98  431.46  227.93
    81  580.11  495.79  374.39
    82  554.32  550.79  334.46
    83  576.92  567.09  260.90
    84  653.28  474.64  265.39
    85  625.41  528.59  227.93
    86  695.19 -467.93  142.27
    87  703.02 -472.21   72.73
    88  739.76 -417.31   33.38
    89  704.26 -471.14  -67.46
    90  740.56 -415.48  -38.03
    91  722.52 -412.18  174.85
    92  762.27 -292.59  236.30
    93  759.28 -357.23  135.59
    94  779.48 -295.70  165.75
    95  768.15 -358.28   63.89
    96  796.72 -295.43   21.49
    97  774.40 -229.56  264.77
    98  803.20 -166.79  222.62
    99  808.10 -232.86  123.45
   100  819.36 -167.37  152.12
   101  816.14 -231.94   51.15
   102  836.96 -100.33  109.23
   103  782.74  -99.31  316.16
   104  778.90  -32.96  338.73
   105  806.55 -100.38  248.81
   106  824.01  -33.37  205.92
   107  838.20  -33.21  137.17
   108  778.90   32.96  338.73
   109  781.23  164.99  291.46
   110  774.40  229.56  264.77
   111  804.18   33.29  273.27
   112  806.55  100.38  248.81
   113  794.16  232.06  194.83
   114  824.66  100.72  179.68
   115  819.36  167.37  152.12
   116  838.20   33.21  137.17
   117  829.59  166.74   80.48
   118  816.14  231.94   51.15
   119  762.27  292.59  236.30
   120  722.52  412.18  174.85
   121  779.48  295.70  165.75
   122  759.28  357.23  135.59
   123  733.73  416.20  104.51
   124  790.99  296.63   93.98
   125  703.02  472.21   72.73
   126  739.76  417.31   33.38
   127  796.72  295.43   21.49
   128  771.46  356.76   -8.32
   129  740.56  415.48  -38.03
   130  704.26  471.14  -67.46
   131  -46.33  250.09  811.05
   132  109.15  203.80  817.96
   133  184.48  175.09  811.05
   134    9.95  294.07  797.45
   135   87.99  270.82  800.88
   136  143.90  310.66  778.00
   137  121.94  375.29  752.85
   138  -67.18  312.86  787.47
   139 -107.39  431.46  724.44
   140  -11.72  356.98  771.32
   141  -33.38  417.31  739.76
   142  -54.79  474.64  703.00
   143   43.83  398.51  749.51
   144  -75.83  528.59  661.33
   145   -1.79  514.51  676.58
   146   99.07  437.14  722.22
   147   75.44  495.79  686.30
   148   51.25  550.79  645.37
   149   26.69  601.76  599.73
   150  238.24  213.62  787.47
   151  219.32  281.91  771.32
   152  176.80  411.88  722.22
   153  272.30  317.98  739.76
   154  252.25  383.08  715.62
   155  340.48  285.94  724.44
   156  303.88  415.20  676.58
   157  282.29  475.72  645.37
   158  388.29  319.26  685.42
   159  372.05  383.06  661.33
   160  332.10  502.52  599.73
   161  153.55  472.58  689.63
   162  103.91  583.24  609.53
   163   77.87  632.35  562.64
   164  206.92  504.60  651.97
   165  182.00  560.16  612.86
   166  128.48  658.65  521.70
   167  233.46  586.40  569.33
   168  206.54  635.67  525.12
   169  308.69  557.35  562.64
   170  255.79  655.24  477.22
   171  226.67  697.63  429.46
   172 -167.84  516.57  653.83
   173 -118.77  559.78  628.52
   174 -135.59  611.73  574.38
   175  -18.44  634.54  565.25
   176  -85.24  649.95  541.10
   177 -232.94  522.69  628.52
   178 -358.06  524.20  565.25
   179 -249.87  574.59  574.38
   180 -313.07  575.93  541.10
   181 -201.40  619.84  545.66
